DOMAINE;MARQUE SENSIBLE;OADC INTERDIT;TYPE D'INTERDICTION;commentaires; mise à jour
Opérateurs;Orange;orangewi-fi;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;oranje;Strictement interdit;;15/10/2022
Opérateurs;Orange;rdv orange;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;rdvorange;Interdit sauf autorisation;;15/10/2022
Opérateurs;RED;red;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;sav orange;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;savorange;Interdit sauf autorisation;;15/10/2022
Opérateurs;SFR;sfr;Interdit sauf autorisation;;15/10/2022
Opérateurs;SOSH;sosh;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;tech orange;Strictement interdit;;15/10/2022
SANTE;AMELI;alertesecu;Strictement interdit;;19/12/2022
SANTE;AMELI;am.sante;Strictement interdit;;15/10/2022
SANTE;AMELI;ame.li;Strictement interdit;;15/10/2022
SANTE;AMELI;ameli;Interdit sauf autorisation;;15/10/2022
SANTE;AMELI;ameli.de;Strictement interdit;;19/12/2022
SANTE;AMELI;ameli.fr;Interdit sauf autorisation;;15/10/2022
SANTE;AMELI;ameli.in;Strictement interdit;;19/12/2022
SANTE;AMELI;amelifr;Strictement interdit;;15/10/2022
SANTE;AMELI;ameliinfo;Strictement interdit;;15/10/2022
SANTE;AMELI;amelisms;Strictement interdit;;15/10/2022
SANTE;AMELI;amell;Strictement interdit;;15/10/2022
SANTE;APHP;aphp;Interdit sauf autorisation;info donnée par agrégateur lors des déclarations OADC;19/12/2022
SANTE;AMELI;cartevitale;Strictement interdit;;15/10/2022
SANTE;CPAM;cm.sante;Strictement interdit;;15/10/2022
SANTE;AMELI;cmu;Strictement interdit;;15/10/2022
SANTE;CPAM;cpam;Interdit sauf autorisation;;15/10/2022
SANTE;CPAM;cpam;Interdit sauf autorisation;CPAM ( numéro département);15/10/2022
SANTE;CPAM;cpam;Interdit sauf autorisation;CPAM ( région);15/10/2022
SANTE;CPAM;cpam.sms;Strictement interdit;;15/10/2022
SANTE;AMELI;info amelie;Strictement interdit;;15/10/2022
SANTE;AMELI;infoameli;Strictement interdit;;15/10/2022
SANTE;AMELI;infosante;Strictement interdit;;15/10/2022
SANTE;AMELI;info sante;Interdit sauf autorisation;Ajout à la demande de MTARGET- n'existe pas avant;30/06/2023
SANTE;AMELI;infosecu;Strictement interdit;;19/12/2022
SANTE;AMELI;infovital;Strictement interdit;;19/12/2022
SANTE;AMELI;sante;Strictement interdit;;15/10/2022
SANTE;AMELI;secu;Strictement interdit;;15/10/2022
SANTE;AMELI;secuvitale;Strictement interdit;;15/10/2022
SANTE;SIDEP;sidep;Interdit sauf autorisation;;15/10/2022
SANTE;SIDEP;si-dep;Interdit sauf autorisation;info donnée par agrégateur lors des déclarations OADC;19/12/2022
SANTE;AMELI;vitale;Strictement interdit;;15/10/2022
SANTE;AMELI;vtalecarte;Strictement interdit;;15/10/2022
LIVRAISON;CHRONOPOST;Chonopos ;Strictement interdit ;;14/09/2023
LIVRAISON;CHRONOPOST;Chrono ;Strictement interdit ;;14/09/2023
LIVRAISON;CHRONOPOST;colichrono ;Strictement interdit ;;14/09/2023
Autres ;;appl ;Strictement interdit ;;14/09/2023
Autres ;;Smsinfos ;Strictement interdit ;;14/09/2023
Marchands;DISNEY;Disney+ ;Interdit sauf autorisation ;;14/09/2023
Marchands;RATP;Ratp ;Interdit sauf autorisation ;;14/09/2023
Marchands;NAVIGO;navigo ;Interdit sauf autorisation ;;14/09/2023
Autres;générique;Verify ;Strictement interdit ;;14/09/2023
Autres;générique;Info_sms ;Strictement interdit ;;14/09/2023
BANQUE;Banque CA  ;CAFR  ;Strictement interdit  ;;13/10/2023
LIVRAISON;Chronopost  ;Chrono post  ;Strictement interdit  ;;13/10/2023
Marchands;Crypto  ;Wallet  ;Interdit sauf autorisation  ;;13/10/2023
LIVRAISON;UPS ;UPS   ;Interdit sauf autorisation  ;;13/10/2023
Autres;CRYPTO  ;Coinbase  ;Interdit sauf autorisation  ;;13/10/2023
Marchands;Fraude Familiale  ;Whatsapp  ;Interdit sauf autorisation  ;;13/10/2023
Autres;Fraude Financière  ;FranceActu  ;Strictement Interdit  ;;13/10/2023
Autres;Crypto  ;OKX  ;Interdit sauf autorisation  ;;13/10/2023
INSTITUTIONS;DGFIP  ;IMPOTS  ;Strictement interdit  ;;13/10/2023
INSTITUTIONS;Antai  ;CREANCEGOUV  ;Strictement interdit  ;;13/10/2023
BANQUE;Boursobank ;Boursobank ;Interdit sauf autorisation  ;;13/10/2023
Marchands;Vinted ;Vinted ;Interdit sauf autorisation  ;;13/10/2023
Marchands;Vinted ;Vlnted ;Strictement interdit  ;;13/10/2023
Marchands;Navigo ;Navigo IDF ;Interdit sauf autorisation  ;;13/10/2023
Marchands;Navigo ;Navlgo IDF ;Strictement interdit  ;;13/10/2023
Marchands;Navigo ;Premier;Strictement interdit  ;Campagnes Navigo ;31/10/2023
INSTITUTIONS;ANTAI;ANTAIGOUV ;ANTAlGOUV;REVOIR STATUT  SI;31/10/2023
INSTITUTIONS;;Infogouv;Strictement interdit  ;;31/10/2023
INSTITUTIONS;;lNFOGOUV;Strictement interdit  ;l minuscule;31/10/2023
INSTITUTIONS;;INFOG0UV;Strictement interdit  ;;31/10/2023
Marchands;;OPPOSITION;Strictement interdit  ;;31/10/2023
INSTITUTIONS;;lmpotsgouv;Strictement interdit  ;l minuscule;31/10/2023
INSTITUTIONS;;lMPOTSGOUV;Strictement interdit  ;l minuscule;31/10/2023
INSTITUTIONS;;Impots Gouv;Strictement interdit  ;;31/10/2023
INSTITUTIONS;DGFIP  ;Gouvimpots;Strictement interdit  ;;31/10/2023
INSTITUTIONS;DGFIP  ;GOUVlMPOT;Strictement interdit  ;;31/10/2023
BANQUE;;SG Secure;Interdit sauf autorisation  ;;31/10/2023
Autres;;MNSPAY;Strictement interdit  ;;31/10/2023
Autres;;ANTSRS;Strictement interdit  ;;31/10/2023
Autres;;AVIS;Interdit sauf autorisation  ;;31/10/2023
Autres;;ANTS;Strictement interdit  ;;31/10/2023
BANQUE;;InfoCB;Interdit sauf autorisation  ;;31/10/2023
BANQUE;;Info cb;Interdit sauf autorisation  ;;31/10/2023
BANQUE;;Info CB;Interdit sauf autorisation  ;;31/10/2023
BANQUE;;infocb;Interdit sauf autorisation  ;;31/10/2023
BANQUE;;lnfocb;Strictement interdit  ;l minuscule;31/10/2023
BANQUE;;aIerte cb;Strictement interdit  ;i majuscule;31/10/2023
BANQUE;;aIertecb;Strictement interdit  ;i majuscule;31/10/2023
BANQUE;;Alertcb;Strictement interdit  ;;31/10/2023
BANQUE;;CREDMUTUEL;Interdit sauf autorisation  ;;31/10/2023
;;;;;
