IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;BESOIN_RES_NUM;DATE_DECLARATION_OPERATEUR
Groupe thym business;THYM;53211705800026;Lyon; 8 AVENUE DU 11 NOVEMBRE 1918  69200 VENISSIEUX   ;0;06/07/2022 00:00
Groupe VIP Telecom;GVPT;92090624500013;Paris; 49 RUE DE PONTHIEU  75008 PARIS   ;0;13/03/2023 00:00
GS Communication;GSCO;39851197200018;Cannes; 196 CHE DES HORTS DE LA SALLE  06250 MOUGINS   ;1;21/10/2009 00:00
GTS France;GTSF;90821214500027;Versailles; 20-22 RUE GRANGE DAME ROSE  78140 VELIZY VILLACOUBLAY   ;1;04/05/2023 00:00
GTSD holding;GTSD;84274475700019;Nanterre; 4 AVENUE HENRI DE LATOUCHE  92290 CHATENAY MALABRY   ;0;16/06/2023 00:00
GTT Communications France;EASY;40233513700061;Nanterre; 77 ESPLANADE DU GENERAL DE GAULLE  92800 PUTEAUX   ;1;06/08/1999 00:00
GTT International BV;KPNE; ;27252281 Pays-Bas;2516 CK 'S-GRAVENNHAGE MAANPLEIN 55 POSTBUS 30000 2500 GA DEN HAAG   PAYS-BAS;1;06/03/2003 00:00
Guadeloupe digital;GUDI;87940030700028; ; 42 RUE HENRI BECQUEREL JARRY  97122 BAIE-MAHAULT   ;0;21/11/2019 00:00
GUADELOUPE TELEPHONE MOBILE;GTPM;48981127300023; ;CHEZ BURO CLUB IMM CROZATIER / JARRY 3296 BOULEVARD MARQUISAT DE HOUELBOURG  97122 BAIE-MAHAULT   ;1;09/08/2007 00:00
GUENOT Gabriel;VULP;92190530300019;Paris; 122 RUE AMELOT  75011 PARIS   ;0;16/12/2022 00:00
Guiloufi Sonia;GUIL;75100795600012;Paris; 22 ALLEE GEORGES RECIPON  75019 PARIS   ;0;09/08/2016 00:00
Guyacom;GUYA;48786181700038;Cayenne;RES. PETIT CHALET - CHATONS 56 AVENUE LOUIS PASTEUR  97300 CAYENNE   ;1;22/08/2006 00:00
GUYANE TELEPHONE MOBILE;GYPM;48997986400019; ;C O ADC GUYANE 10 RESIDENCE LA ROCADE  97300 CAYENNE   ;1;09/08/2007 00:00
HaiSoft;HSFT;45147565100035;Orléans; 7 RUE VIEILLE LEVEE  45100 ORLEANS   ;1;07/09/2023 00:00
Halys;HALY;44789808100032; ; 28 RUE ROSENWALD  75015 PARIS   ;1;09/12/2011 00:00
HAMADI Mehdi;BLCK;90017350100041;Vienne; 174 AVENUE FRANCOIS MITTERRAND  38670 CHASSE SUR RHONE   ;0;28/01/2023 00:00
Happy telecom;HAPP;82911807400014;PARIS; 7 RUE DE LA PAIX  75002 PARIS   ;1;31/05/2017 00:00
Haute Saône Fibre;HASF;83378107300022;VESOUL; 4 RUE MAGINOT  70000 VESOUL   ;0;03/02/2021 00:00
